word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
breast,brest,n. the front of the trunk from the neck to the abdomen\nn. either of two soft fleshy milk-secreting glandular organs on the chest of a woman\nn. meat carved from the breast of a fowl\nn. the part of an animal's body that corresponds to a person's chest,"n. 胸部, 乳房, 胸怀\nvt. 以胸对着, 面对",,3,1,gk cet4 cet6 ky,2793,1652,s:breasts/p:breasted/i:breasting/d:breasted/3:breasts,,
breath,breθ,n. the process of taking in and expelling air during breathing\nn. the air that is inhaled and exhaled in respiration\nn. a short respite\nn. a slight movement of the air,"n. 呼吸, 气息, 瞬间\n[医] 呼气, 呵气, 口气, 呼吸",,3,1,zk gk cet4 ky toefl,1768,1628,s:breaths,,
breathe,bri:ð,"v. draw air into, and expel out of, the lungs\nv. be alive\nv. impart as if by breathing\nv. allow the passage of air through","vi. 呼吸, 生存, 低语\nvt. 呼吸, 使喘息, 发散, 低声说",,3,1,zk gk cet4 ky toefl,2434,2264,i:breathing/p:breathed/3:breathes/d:breathed,,
breed,bri:d,"n. a special variety of domesticated animals within a species\nn. a special type\nv. copulate with a female, used especially of horses\nv. cause to procreate (animals)","n. 种类, 品种\nv. 养育, 引起, 饲养, 繁殖",,3,1,cet4 cet6 ky toefl ielts gre,3721,5698,s:breeds/d:bred/p:bred/i:breeding/3:breeds,,
bridge,bridʒ,n. a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.\nn. a circuit consisting of two branches (4 arms arranged in a diamond configuration) across which a meter is connected\nn. something resembling a bridge in form or function\nn. the hard ridge that forms the upper part of the nose,"n. 桥, 舰桥, 桥梁, 桥牌\nvt. 架桥于, 跨越\n[计] 桥, 网桥, 桥接器",,4,1,zk gk ielts,1434,1687,s:bridges/d:bridged/i:bridging/p:bridged/3:bridges,,
brief,bri:f,n. a document stating the facts and points of law of a client's case\nn. a condensed written summary or abstract\nv. give essential information to someone\ns. of short duration or distance,"n. 摘要, 简报\na. 简短的, 短暂的\nvt. 对...作简报, 摘要, 节录",,4,1,gk cet4 ky toefl,1863,2146,d:briefed/s:briefs/i:briefing/t:briefest/r:briefer/p:briefed/3:briefs,,
bright,brait,a. emitting or reflecting light readily or in large amounts\ns. having striking color\ns. characterized by quickness and ease in learning\ns. having lots of light either natural or artificial,"a. 明亮的, 聪明的, 鲜明的, 欢快的\nadv. 明亮地, 欢快地",,4,1,zk gk,1526,1308,r:brighter/t:brightest,,
brilliant,'briljәnt,s. of surpassing excellence\ns. characterized by grandeur\ns. full of light; shining intensely,"a. 光辉的, 灿烂的, 有才气的\n[机] 亮的",,3,1,gk cet4 ky ielts,2429,3159,s:brilliants,,
bring,briŋ,v. take something or somebody with oneself somewhere\nv. cause to come into a particular state or condition\nv. cause to happen or to occur as a consequence\nv. go or come after and bring or take back,"vt. 带来, 产生, 促使, 提出\nvi. 生产",,5,1,zk gk ielts,195,215,d:brought/p:brought/i:bringing/3:brings,,
broad,brɒ:d,n. slang term for a woman\ns. not detailed or specific\ns. lacking subtlety; obvious\ns. being at a peak or culminating point,"a. 宽广的, 辽阔的, 广大的, 显著的\nadv. 宽阔地\nn. 宽阔部分",,4,1,gk cet4 ky,1462,1404,r:broader/t:broadest/s:broads,,
broadcast,'brɒ:dkæst,"n. message that is transmitted by radio or television\nn. a radio or television show\nv. sow over a wide area, especially by hand","n. 广播, 传播\na. 广播的\nv. 广播\nadv. 经广播, 四散地\n[计] 广播命令, 广播",,3,1,gk cet4 ky toefl,5111,3617,s:broadcasts/d:broadcast/0:broadcast/1:dp/i:broadcasting/3:broadcasts/p:broadcast,,
broadcasting,'brɒ:dkæstiŋ,n. taking part in a radio or tv program,n. 广播\n[电] 广播,,3,,,4227,8315,0:broadcast/1:i/i:broadcasting,,
broker,'brәukә,v. act as a broker,"n. 掮客, 经纪人\n[经] 经纪人, 掮客",,3,,gre,5375,4073,s:brokers/p:brokered/d:brokered/i:brokering/3:brokers/f:brokers,,
brother,'brʌðә,n. a male with the same parents as someone else\nn. a male person who is a fellow member (of a fraternity or religion or other group)\nn. used as a term of address for those male persons engaged in the same movement\nn. (Roman Catholic Church) a title given to a monk and used as form of address,n. 兄弟,,5,1,zk gk,827,614,s:brothers,,
brown,braun,"n. an orange of low brightness and saturation\nn. Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858)\nn. abolitionist who was hanged after leading an unsuccessful raid at Harper's Ferry, Virginia (1800-1859)\nv. fry in a pan until it changes color",n. 褐色\na. 褐色的\nv. (使)变褐色,,5,1,zk gk toefl,2018,1769,s:browns/p:browned/r:browner/d:browned/i:browning/3:browns,,
brush,brʌʃ,n. a dense growth of bushes\nn. an implement that has hairs or bristles firmly set into a handle\nn. momentary contact\nn. conducts current between rotating and stationary parts of a generator or motor,"n. 刷子, 毛笔, 争吵\nvt. 刷\nvi. 擦过, 掠过\n[计] 电刷",,3,1,zk gk,3418,3223,p:brushed/i:brushing/s:brushes/d:brushed/3:brushes,,
budget,'bʌdʒit,n. a sum of money allocated for a particular purpose\nn. a summary of intended expenditures along with proposals for how to meet them\nv. make a budget,"n. 预算\nvi. 编预算\nvt. 编入预算, 安排\na. 廉价的",,4,1,gk cet4 cet6 ky toefl ielts gre,1062,1054,s:budgets/d:budgeted/p:budgeted/i:budgeting/3:budgets,,
build,bild,"v. build or establish something abstract\nv. improve the cleansing action of\nv. order, supervise, or finance the construction of\nv. give form to, according to a plan","v. 建立, 建筑\nn. 构造, 体格",,5,1,zk gk,415,408,d:built/i:building/p:built/3:builds,,
building,'bildiŋ,n. a structure that has a roof and walls and stands more or less permanently in one place\nn. the occupants of a building,"n. 建筑物, 建筑\n[法] 营造, 建筑, 建筑物",,5,1,zk gk ielts,420,501,0:build/1:i/s:buildings/i:building,,
bunch,bʌntʃ,n. a grouping of a number of similar things\nn. any collection in its entirety\nv. gather or cause to gather into a cluster,"n. 串, 束\n[医] 骨肿块(马)",,3,1,gk cet4 cet6 ky toefl ielts,4503,2658,s:bunches/d:bunched/i:bunching/p:bunched/3:bunches,,
burden,'bә:dn,n. an onerous or difficult concern\nn. the central idea that is expanded in a document or discourse\nv. weight down with a load,"n. 负担, 重载, 担子, 责任\nvt. 装货于, 烦扰, 使负担",,3,,gk cet4 cet6 ky toefl,2696,2665,s:burdens/d:burdened/i:burdening/p:burdened/3:burdens,,
burn,bә:n,n. pain that feels hot as if it were on fire\nn. an injury caused by exposure to heat or chemicals or radiation\nn. a place or area that has been burned (especially on a person's body)\nn. damage inflicted by fire,"vt. 烧, 烧毁, 烧伤\nvi. 燃烧, 发热, 烧毁\nn. 烧伤, 烙印",,4,1,zk gk cet4 cet6 ky,1754,1422,d:burnt/i:burning/p:burned/s:burns/3:burns,,
burst,bә:st,"n. a sudden flurry of activity (often for no obvious reason)\nv. come open suddenly and violently, as if from internal pressure\nv. move suddenly, energetically, or violently\nv. emerge suddenly","n. 破裂, 突发, 爆发\nv. 爆裂, 突发, 充满\n[计] 二进制位组; 字符组; 脉冲串",,3,1,gk cet4 cet6 ky toefl,3011,3560,p:burst/0:burst/1:pd/i:bursting/s:bursts/d:burst/3:bursts,,
bury,'beri,v. cover from sight\nv. place in a grave or tomb\nv. place in the earth and cover with soil\nv. embed deeply,"vt. 埋葬, 埋藏",,3,1,gk cet4 ky,2650,2398,d:buried/i:burying/p:buried/3:buries,,
bus,bʌs,n. a vehicle carrying many passengers; used for public transport\nn. a car that is old and unreliable\nv. send or move around by bus\nv. ride in a bus,n. 公共汽车\n[计] 总线; 汇流条; 母线,,3,1,zk gk ielts,1399,1453,s:buses/i:bussing/p:bussed/3:busses/d:bussed,,
business,'biznis,n. a commercial or industrial enterprise and the people who constitute it\nn. a rightful concern or responsibility\nn. an immediate objective\nn. the volume of commercial activity,"n. 生意, 事情, 业务, 商业, 商行, 职责\n[经] 企业, 商业, 营业",,5,1,zk gk cet4 cet6 ky ielts,215,246,s:businesses,,
businessman,'biznismæn,n. a person engaged in commercial or industrial business (especially an owner or executive),"n. 商人, 实业家, 工商业家",,3,1,gk,3547,3840,s:businessmen,,
busy,'bizi,v. keep busy with\na. actively or fully engaged or occupied\ns. overcrowded or cluttered with detail\ns. crowded with or characterized by much activity,"a. 忙碌的, 热闹的, 没空的\nvt. 使忙\nvi. 忙碌\n[计] 忙; 忙碌",,3,1,zk gk,1753,1924,t:busiest/p:busied/r:busier/i:busying/d:busied/3:busies,,
but,bʌt,r and nothing more,prep. 除了\nconj. 但是\nadv. 仅仅,,5,1,zk gk,24,23,,,
butter,'bʌtә,n. an edible emulsion of fat globules made by churning milk or cream; for cooking and table use\nn. a fighter who strikes the opponent with his head\nv. spread butter on,"n. 奶油, 黄油\nvt. 涂黄油于",,3,1,zk gk cet4 ky toefl,3403,2402,d:buttered/i:buttering/p:buttered/s:butters/3:butters,,
button,'bʌtәn,n. a round fastener sewn to shirts and coats etc to fit through buttonholes\nn. any of various plant parts that resemble buttons\nn. a round flat badge displaying information and suitable for pinning onto a garment\nn. any artifact that resembles a button,"n. 钮扣, 按钮\nvi. 扣住\nvt. 钉钮扣于, 扣紧\n[计] 按钮",,3,1,gk cet4 cet6 ky,2977,2645,s:buttons/p:buttoned/i:buttoning/d:buttoned/3:buttons,,
buy,bai,v. obtain by purchase; acquire by means of a financial transaction\nv. be worth or be capable of buying\nv. acquire by trade or sacrifice or exchange\nv. accept as true,"vt. 买, 获得\nvi. 买\nn. 购买, 买得的东西",,5,1,zk gk,351,397,p:bought/i:buying/d:bought/3:buys/s:buys,,
by,bai,r. so as to pass a given point,"prep. 被, 经, 由, 在...之旁\nadv. 经过, 在近处",,5,1,zk gk,20,30,,,
bye,bai,n. you advance to the next round in a tournament without playing an opponent,"interj. 再会, 回头见\n[计] 结束命令",,3,1,zk gk,4072,18387,s:byes,,
cabinet,'kæbinit,"n. a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display\nn. persons appointed by a head of state to head executive departments of government and act as official advisers\nn. a storage compartment for clothes and valuables; usually it has a lock\nn. housing for electronic instruments, as radio or television","n. 橱柜, 内阁\na. 内阁的, 细木工做的\n[计] 机柜",,4,1,cet4 cet6 ky toefl ielts gre,1378,2693,s:cabinets,,
cable,'keibl,n. a telegram sent abroad\nn. a conductor for transmitting electrical or optical signals or electric power\nn. a very strong thick rope made of twisted hemp or steel wire\nn. a nautical unit of depth,"n. 电缆, 海底电报, 缆, 索\nvi. 打海底电报\nvt. 发海底电报, 缚住\n[计] 电缆",,3,1,cet4 cet6 ky toefl ielts,3033,2003,s:cables/p:cabled/d:cabled/i:cabling/3:cables,,
cake,keik,"n. a block of solid substance (such as soap or wax)\nn. baked goods made from or based on a mixture of flour, sugar, eggs, and fat","n. 蛋糕, 块, 饼\nvt. 使结块, 加块状物于\nvi. 结块",,3,1,zk gk cet4 ky,2309,2540,s:cakes/d:caked/i:caking/p:caked/3:cakes,,
calculated,'kælkjuleitid,"v make a mathematical calculation or computation\nv judge to be probable\nv keep an account of\nv predict in advance\nv specifically design a product, event, or activity for a certain public\nv have faith or confidence in\ns carefully thought out in advance","a. 有计划的, 适当的, 适合的, 计算出的\n[机] 算清了的",,3,,gre,11553,12454,0:calculate/1:dp/p:calculated/d:calculated,,
call,kɒ:l,"n. a telephone connection\nn. a special disposition (as if from a divine source) to pursue a particular course\nn. a demand especially in the phrase ""the call of duty""\nn. a brief social visit","n. 呼叫, 访问, 打电话, 号召, 召集, 要求\nvt. 呼叫, 召集, 打电话\nvi. 叫喊, 访问, 叫牌\n[计] 调用; 呼叫; DOS内部命令:在批处理文件中调用另一个批处理文件",,5,1,zk gk ielts,161,122,d:called/p:called/i:calling/s:calls/3:calls,,
calm,kɑ:m,"v. make calm or still\nv. become quiet or calm, especially after a state of agitation\ns. not agitated; without losing self-possession\na. (of weather) free from storm or wind","n. 平稳, 风平浪静\na. 平静的, 冷静的\nvi. 平静下来, 镇静\nvt. 使平静",,3,1,gk cet4 cet6 ky toefl,4472,4189,r:calmer/i:calming/p:calmed/d:calmed/3:calms,,
camera,'kæmәrә,n. equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other),"n. 照相机, 摄影机, 密谈室, 暗箱\n[计] 摄影",,4,1,zk gk cet4 cet6 ky ielts,2246,949,s:cameras,,
camp,kæmp,n. temporary living quarters specially built by the army for soldiers\nn. a group of people living together in a camp\nn. temporary lodgings in the country for travelers or vacationers\nn. a penal institution (often for forced labor),"n. 露营, 帐篷\nvi. 露营, 扎营\nvt. 使扎营",,4,1,zk gk cet4 cet6 ky toefl ielts,2079,1188,s:camps/i:camping/p:camped/d:camped/r:camper/3:camps,,
campaign,kæm'pein,"n. a series of actions advancing a principle or tending toward a particular end\nn. several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints)\nn. an overland journey by hunters (especially in Africa)\nv. run, stand, or compete for an office or a position","n. 战役, 运动, 竞选运动\nvi. 参加运动, 作战",,5,1,gk cet4 cet6 ky toefl ielts gre,956,640,s:campaigns/i:campaigning/p:campaigned/d:campaigned/3:campaigns,,
can't,kɑ:nt, A colloquial contraction for can not.,vi. 不能,,5,,,0,0,,,
cancel,'kænsәl,v. postpone indefinitely or annul something that was scheduled\nv. make up for\nv. declare null and void; make ineffective\nv. make invalid for use,"n. 取消, 撤消, 盖销(邮票)\nvt. 取消, 删去, 抵销, 盖销\nvi. 相互抵销\n[计] 作废",,3,1,zk gk cet4 cet6 ky toefl ielts,3183,3915,d:cancelled/p:cancelled/i:cancelling/3:cancels,,
cancer,'kænsә,n. any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream\nn. (astrology) a person who is born while the sun is in Cancer\nn. a small zodiacal constellation in the northern hemisphere; between Leo and Gemini\nn. the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22,"n. 癌, 恶性肿瘤\n[医] 癌",,4,1,zk cet4 cet6 ky,1943,1029,s:cancers,,
candidate,'kændideit,n. someone who is considered for something (for an office or prize or honor etc.),"n. 候选人, 投考者\n[法] 候选, 候补者",,4,1,gk cet4 cet6 ky toefl ielts gre,1227,957,s:candidates,,
cap,kæp,n. a tight-fitting headdress\nn. a top (as for a bottle)\nn. something serving as a cover or protection\nn. a fruiting structure resembling an umbrella or a cone that forms the top of a stalked fleshy fungus such as a mushroom,"n. 盖子, 帽子\nvt. 戴帽子, 覆盖, 胜过\nvi. 脱帽致意\n[计] 调用程序分析, 容量, 代码分析程序, 计算机辅助生产, 计算机辅助印刷",,3,1,zk gk cet4 cet6 ky toefl,2955,2306,s:caps/d:capped/i:capping/p:capped/3:caps,,
capable,'keipәbl,a. (usually followed by `of') having capacity or ability\ns. possibly accepting or permitting\na. (followed by `of') having the temperament or inclination for,"a. 有能力的, 能的, 能干的",,3,1,cet4 cet6 ky toefl,1848,2392,,,
capacity,kә'pæsiti,n. capability to perform or produce\nn. the amount that can be contained\nn. the maximum production possible\nn. a specified function,"n. 容量, 能力, 才能, 资格\n[计] 容量",,3,1,cet4 cet6 ky toefl ielts,1507,1777,s:capacities,,
capital,'kæpitәl,"n. assets available for use in the production of further assets\nn. wealth in the form of money or property owned by a person or business and human resources of economic value\nn. a seat of government\nn. one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis; capitals were kept in the upper half of the type case and so became known as upper-case letters""","n. 首都, 大写字母, 资本\na. 首都的, 重要的",,5,1,zk gk cet4 cet6 ky ielts,729,1061,s:capitals,,
captain,'kæptin,n. an officer holding a rank below a major but above a lieutenant\nn. the naval officer in command of a military ship\nn. a policeman in charge of a precinct\nn. the leader of a group of people,"n. 船长, 指挥官, 海军上校, 首领\nvt. 率领, 指挥",,4,1,zk gk cet4 cet6 ky,1680,3347,s:captains/p:captained/d:captained/i:captaining/3:captains,,
caption,'kæpʃәn,"n. taking exception; especially a quibble based on a captious argument\nn. brief description accompanying an illustration\nv. provide with a caption, as of a photograph or a drawing","n. 说明, 字幕, 标题\nvt. 加上标题, 加上说明\n[计] 标题",,4,,gk ielts gre,10185,9117,s:captions/d:captioned/p:captioned/i:captioning/3:captions,,
capture,'kæptʃә,n. the act of forcibly dispossessing an owner of property\nn. a process whereby a star or planet holds an object in its gravitational field\nn. any process in which an atomic or nuclear system acquires an additional particle\nn. the act of taking of a person by force,"n. 抓取, 战利品, 捕获之物\nvt. 抓取, 获得, 迷住\n[计] 截获命令",,3,1,cet4 cet6 ky toefl ielts gre,2658,1715,d:captured/p:captured/i:capturing/3:captures/s:captures,,
car,kɑ:,n. a motor vehicle with four wheels; usually propelled by an internal combustion engine\nn. a wheeled vehicle adapted to the rails of railroad\nn. the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant\nn. where passengers ride up and down,"n. 汽车, 客车\n[机] 车",,5,1,zk gk,247,289,s:cars,,
carbon,'kɑ:bәn,n. an abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond; occurs in all organic compounds\nn. a copy made with carbon paper,"n. 碳, 副本, 复写纸\n[化] 碳",,3,,gk cet4 cet6 ky toefl ielts,3062,3004,s:carbons,,
card,kɑ:d,"n. one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes\nn. a card certifying the identity of the bearer\nn. a rectangular piece of stiff paper used to send messages (may have printed greetings or pictures)\nn. thin cardboard, usually rectangular","n. 卡片, 纸牌, 节目单, 明信片, 梳棉机\nvt. 备置卡片, 记于卡片上, 梳理\n[计] 卡片, 卡",,4,1,zk gk ielts,1035,892,s:cards/p:carded/i:carding/3:cards/d:carded,,
care,kєә,n. the work of providing treatment for or attending to someone or something\nn. a cause for feeling concern\nn. attention and management implying responsibility for safety\nn. activity involved in maintaining something in good working order,"n. 小心, 照料, 忧虑\nvi. 关心, 介意\nvt. 在意, 喜欢",,5,1,zk gk ielts,505,434,p:cared/3:cares/d:cared/i:caring/s:cares,,
career,kә'riә,n. the particular occupation for which you are trained\nn. the general progression of your working or professional life\nv. move headlong at high speed,"n. 事业, 生涯, 成功\n[法] 职业, 专业, 履历",,4,1,cet4 ky toefl ielts,1057,741,s:careers/p:careered/i:careering/3:careers/d:careered,,
careful,'kєәful,a. exercising caution or showing care or attention\ns. cautiously attentive\ns. unhurried and with care and dignity\ns. full of cares or anxiety,"a. 小心的, 谨慎的",,4,1,zk gk toefl,1777,1952,,,
caring,'kεәriŋ,s. feeling and exhibiting concern and empathy for others,a. 有同情心的；表示或感到关怀或关心的,,3,,,6938,9373,0:care/1:i/i:caring,,
carrier,'kæriә,n. someone whose employment involves carrying something\nn. a self-propelled wheeled vehicle designed specifically to carry something\nn. an inactive substance that is a vehicle for a radioactive tracer of the same substance and that assists in its recovery after some chemical reaction\nn. a person or firm in the business of transporting people or goods or messages,"n. 运送者, 邮递员, 带菌者\n[计] 载波",,3,,gk cet4 cet6 ky ielts,3636,3271,s:carriers,,
carry,'kæri,"n. the act of carrying something\nv. have with oneself; have on one's person\nv. serve as a means for expressing something\nv. bear or be able to bear the weight, pressure,or responsibility of","n. 进位, 射程, 运载\nvt. 携带, 运送, 支持, 传送, 包含\nvi. 被携带, 能达到\n[计] 进位; 进位数",,5,1,zk gk ielts,283,487,d:carried/i:carrying/p:carried/3:carries,,
cash,kæʃ,n. money in the form of bills or coins\nn. prompt payment for goods or services in currency or by check\nn. United States country music singer and songwriter (1932-2003)\nv. exchange for cash,n. 现金\nvt. 兑现,,4,1,gk cet4 ky ielts,1204,1722,i:cashing/d:cashed/p:cashed/3:cashes,,
cast,kɑ:st. kæst,n. the actors in a play\nn. the distinctive form in which a thing is made\nn. bandage consisting of a firm covering (often made of plaster of Paris) that immobilizes broken bones while they heal\nn. object formed by a mold,"n. 演员阵容, 投掷, 铸件, 预测, 特性\nvt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算\nvi. 投, 计算, 浇铸成型",,4,1,gk cet4 cet6 ky toefl ielts gre,2328,2035,d:cast/0:cast/1:dp/i:casting/p:cast/3:casts/s:casts,,
castle,'kæsl. 'kɑ:sl,n. a large building formerly occupied by a ruler and fortified against attack\nn. (chess) the piece that can move any number of unoccupied squares in a direction parallel to the sides of the chessboard\nn. interchanging the positions of the king and a rook\nv. move the king two squares toward a rook and in the same move the rook to the square next past the king,"n. 城堡, 象棋中的车\nvt. 置于城堡中, 盘踞于",,3,1,gk cet4 cet6 ky ielts,1765,5844,s:castles/i:castling/p:castled/3:castles/d:castled,,
casualty,'kæʒjuәlti,n. someone injured or killed or captured or missing in a military engagement\nn. someone injured or killed in an accident\nn. a decrease of military personnel or equipment,"n. 意外事故, 伤亡, 受害者\n[化] 事故",,3,,cet6 ky toefl ielts gre,3944,4230,s:casualties,,
cat,kæt,n. feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats\nn. a spiteful woman gossip\nv. beat with a cat-o'-nine-tails,"n. 猫, 恶妇\nvi. 呕吐\n计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版\n[计] 计算机辅助教学, 计算机辅助翻译, 计算机辅助排字, 计算机辅助测试",,3,1,zk gk,1712,1775,s:cats/i:catting/p:catted/3:cats/d:catted,,
catch,kætʃ,n. a drawback or difficulty that is not readily evident\nn. the quantity that was caught\nn. a person regarded as a good matrimonial prospect\nn. anything that is caught (especially if it is worth catching),"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手\nvt. 捕捉, 赶上, 感染, 听清楚\nvi. 抓住, 燃着",,4,1,zk gk ielts,681,586,d:caught/p:caught/i:catching/3:catches/s:catches,,
category,'kætigәri,n. a general concept that marks divisions or coordinations in a conceptual scheme,"n. 种类, 类项\n[计] 分类",,3,1,gk cet6 ky toefl ielts gre,1419,1461,s:categories,,
catholic,'kæθәlik,n. a member of a Catholic church\na. of or relating to or supporting Catholicism\ns. free from provincial prejudices or attachments,"n. 天主教徒\na. 天主教的, 普遍的, 广泛的, 宽宏大量的",,3,,gk cet6 ky toefl ielts gre,2595,1757,s:catholics,,
cause,kɒ:z,"n. events that provide the generative force that is the origin of something\nn. a justification for something existing or happening\nv. give rise to; cause to happen or occur, not always intentionally","n. 原因, 目标\nvt. 引起, 使产生, 使遭受",,5,1,zk gk cet4 cet6 ky toefl ielts,476,601,d:caused/i:causing/s:causes/p:caused/3:causes,,
cautious,'kɒ:ʃәs,"a. showing careful forethought; never making swift decisions""\ns. avoiding excess","a. 谨慎的, 小心的",,3,,gk cet4 cet6 ky toefl ielts,5239,5231,,,
cave,keiv,n. a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea\nv. hollow out as if making a cave or opening\nv. explore natural caves,"n. 洞, 穴\nvi. 凹陷, 塌落\nvt. 挖洞, 使凹陷, 损坏...的基础",,3,,gk cet4 cet6 ky ielts,4161,3562,s:caves/p:caved/d:caved/i:caving/3:caves,,
CD,,"n a soft bluish-white ductile malleable toxic bivalent metallic element; occurs in association with zinc ores\nn the basic unit of luminous intensity adopted under the Systeme International d'Unites; equal to 1/60 of the luminous intensity per square centimeter of a black body radiating at the temperature of 2,046 degrees Kelvin\nn a debt instrument issued by a bank; usually pays interest\nn a digitally encoded recording on an optical disk that is smaller than a phonograph record; played back by a laser\ns being one hundred more than three hundred","n. 镭射碟, 镭射唱片\n[计] 光盘, 压缩盘, 载波检测, DOS内部命令:显示或改变当前目录",,3,1,zk gk ielts,32141,0,s:cds,,
cease,si:s,n. (`cease' is a noun only in the phrase `without cease') end,"n. 停止\nv. 停止, 终了",,3,1,cet4 cet6 ky toefl ielts,2679,4470,d:ceased/3:ceases/p:ceased/i:ceasing,,
ceasefire,ˈsi:sfaɪə(r),,"n. （通常指永久性的）停火, 停战; 停火命令",,3,,,6824,0,s:ceasefires,,
celebrate,'selibreit,v. have a celebration,"v. 庆祝, 祝贺, 举行",,3,1,zk gk cet4 cet6 ky toefl,2443,2019,i:celebrating/p:celebrated/d:celebrated/3:celebrates,,
celebration,.seli'breiʃәn,n. a joyful occasion for special festivities to mark some happy event\nn. any joyous diversion\nn. the public performance of a sacrament or solemn ceremony with all appropriate ritual,"n. 庆祝, 庆典",,3,1,gk,3379,2996,s:celebrations,,
cell,sel,n. any small compartment\nn. (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals\nn. a device that delivers an electric current as the result of a chemical reaction\nn. a small unit serving as part of or as the nucleus of a larger political movement,"n. 单元, 细胞, 电池\n[计] 单元",,4,1,gk cet4 cet6 ky toefl,769,895,s:cells,,
central,'sentrәl,n. a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication\na. in or near a center or constituting a center; the inner area,"a. 中央的, 重要的\n[医] 中央的, 中心的, 中枢的",,5,1,gk cet4 cet6 ky ielts,521,743,,,
centre,'sentә,n. a low-lying region in central France,"n. 中心, 中心点, 中锋\na. 中央的, 位在正中的\nvt. 集中, 定中心\nvi. 居中",,5,1,zk gk cet4 cet6 ky ielts,327,0,s:centres/p:centred/d:centred/3:centres/i:centring,,
century,'sentʃuri,n. a period of 100 years,"n. 世纪, 百年",,5,1,zk gk cet4 cet6 ky ielts,407,605,s:centuries,,
ceremony,'serimәni,n. a formal event performed on a special occasion\nn. any activity that is performed in an especially solemn elaborate or formal way\nn. the proper or conventional behavior on some solemn occasion,"n. 典礼, 仪式, 礼节\n[法] 典礼, 仪式",,3,1,gk cet4 cet6 ky toefl ielts gre,3313,2670,s:ceremonies,,
certain,'sә:tәn,s. definite but not specified or identified\na. having or feeling no doubt or uncertainty; confident and assured\na. established beyond doubt or question; definitely known\na. certain to occur; destined or inevitable,"a. 确定的, 某一个的, 必然的\n[法] 确凿的, 无疑的, 可靠的",,3,1,zk gk cet4 ky,440,577,,,
certainly,'sә:tәnli,r definitely or positively (`sure' is sometimes used informally for `surely'),adv. 确定地,,4,1,gk,540,664,,,
chain,tʃein,n. a series of things depending on each other as if linked together\nn. (chemistry) a series of linked atoms (generally in an organic molecule)\nn. a series of (usually metal) rings or links fitted into one another to make a flexible ligament\nn. (business) a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,"n. 链, 枷锁, 束缚\nvt. 用铁练锁住, 束缚, 囚禁",,3,1,gk cet4 cet6 ky,1835,1805,s:chains/d:chained/p:chained/i:chaining/3:chains,,
chair,tʃєә,"n. a seat for one person, with a support for the back\nn. a particular seat in an orchestra\nv. act or preside as chair, as of an academic department in a university","n. 椅子, 显要的席位, 主席\nvt. 使入座, 使就任要职",,4,1,zk gk ielts,1029,946,s:chairs/d:chaired/p:chaired/i:chairing/3:chairs,,
chairman,'tʃєәmәn,"n the officer who presides at the meetings of an organization\nv act or preside as chair, as of an academic department in a university","n. 主席, 会长\n[经] 主席",,4,1,zk gk cet4 cet6 ky,864,1372,s:chairmen/i:chairmanning/p:chairmanned/3:chairmans/d:chairmanned/f:chairmen,,
challenge,'tʃælindʒ,n. a demanding or stimulating situation\nn. a call to engage in a contest or fight\nn. questioning a statement and demanding an explanation\nn. a formal objection to the selection of a particular person as a juror,"n. 挑战, 盘问\nvt. 向...挑战, 要求, 怀疑\nvi. 挑战, 对(证据等)表示异议",,4,1,gk cet4 cet6 ky toefl ielts,1506,984,s:challenges/d:challenged/p:challenged/i:challenging/3:challenges,,
chamber,'tʃeimbә,n. a natural or artificial enclosed space\nn. an enclosed volume in the body\nn. a room where a judge transacts business\nn. a deliberative or legislative or administrative or judicial assembly,"n. 室, 房间, 枪膛\nvt. 装(弹药), 把...关在室内\na. 室内的",,3,1,cet4 cet6 ky toefl ielts,2381,2667,s:chambers/i:chambering/p:chambered/3:chambers/d:chambered,,
